Masque Lounge & Bar,22197,944
Scone,24378,945
The Scoop,24826,946
Brew-Berry,22593,947
Basanta Cabin,22931,948
Gopinath,22514,949
Herbs & Spices,22424,950
The Big Ben - Kenilworth Hotels,21542,951
Bread Bazaar,22811,952
Keventers,18368690,953
Second House Restaurant,21707,954
Chaskaa Reloaded Cafe,18270228,955
Mughal Sarai,18166916,956
Smokaccino,22535,957
Kings Grill,21469,958
Nick 'N' Nack,23249,959
VIP Sweets,24137,960
Kaka Tea,22196,961
Mutton Golbari,25713,962
Chung Wahh,18249164,963
Hooked Up Cafe,24803,964
Ridhi Sidhi,20727,965
Fabelle Chocolate Boutique - ITC Sonar,18343772,966
Body N Mind Cafe,25467,967
Eat Smart,18143236,968
The Baking Theory,18452208,969
Sunny's Refreshment,23205,970
Pasta Basta,18311137,971
Regent Restaurant,21721,972
Bong Fusion Cafe,18312670,973
Sona Restaurant,23204,974
